Time,               Close,Daily_Transcations
2011-10-30,3.65026,4888
2011-10-31,3.388,4956
2011-11-01,3.35,5885
2011-11-02,3.44,5750
2011-11-03,3.299,5746
2011-11-04,3.21874,6662
2011-11-05,3.21,6575
2011-11-06,3.05,5021
2011-11-07,3.0289,5329
2011-11-08,3.21,5748
2011-11-09,3.114,6627
2011-11-10,3,6364
2011-11-11,3,5439
2011-11-12,3.11,5346
2011-11-13,3.099,5088
2011-11-14,3.03,5620
2011-11-15,2.69,6442
2011-11-16,2.6,5855
2011-11-17,2.60031,5596
2011-11-18,2.38998,4818
2011-11-19,2.3,4909
2011-11-20,2.499,4796
2011-11-21,2.29,5044
2011-11-22,2.35,5371
2011-11-23,2.38,5620
2011-11-24,2.46,5020
2011-11-25,2.56,5374
2011-11-26,2.53125,5004
2011-11-27,2.4965,4794
2011-11-28,2.53899,5925
2011-11-29,2.981,6529
2011-11-30,2.959,6332
2011-12-01,3.14,6735
2011-12-02,3.138,6316
2011-12-03,3.12999,5533
2011-12-04,2.99,5290
2011-12-05,2.93,6347
2011-12-06,3.05,7021
2011-12-07,3.082,7119
2011-12-08,3.1,5787
2011-12-09,3.039,5686
2011-12-10,3.04,5794
2011-12-11,3.38,5240
2011-12-12,3.34237,4924
2011-12-13,3.3,5515
2011-12-14,3.277,5125
2011-12-15,3.1933,5476
2011-12-16,3.23,5319
2011-12-17,3.23,4819
2011-12-18,3.25,4615
2011-12-19,3.70036,5200
2011-12-20,4.5,6684
2011-12-21,4.11,5667
2011-12-22,3.99199,5818
2011-12-23,3.95,5740
2011-12-24,3.9499,4676
2011-12-25,4.3897,5307
2011-12-26,4.31259,5381
2011-12-27,4.06,5571
2011-12-28,4.18888,4969
2011-12-29,4.33,5023
2011-12-30,4.3,5024
2011-12-31,4.995,5357
2012-01-01,5.2,4523
2012-01-02,5.4999,5809
2012-01-03,5.29,5544
2012-01-04,5.6063,5636
2012-01-05,6.399,6917
2012-01-06,7.22,6361
2012-01-07,7.01556,6211
2012-01-08,7.2,6290
2012-01-09,7.2,5999
2012-01-10,6.89,6589
2012-01-11,7.138,7168
2012-01-12,6.997,6943
2012-01-13,6.8583899897,6824
2012-01-14,6.75,6734
2012-01-15,6.98999,6675
2012-01-16,7.18888,6685
2012-01-17,6.98,6545
2012-01-18,6.95,7215
2012-01-19,6.3,6464
2012-01-20,6.58,6718
2012-01-21,6.55,6771
2012-01-22,6.39,5259
2012-01-23,6.45485,5984
2012-01-24,6.515,6817
2012-01-25,6.45,8017
2012-01-26,6.2,6736
2012-01-27,5.689,6544
2012-01-28,5.74815,6095
2012-01-29,5.76,6464
2012-01-30,5.6,6019
2012-01-31,5.65,6469
2012-02-01,5.638,6900
2012-02-02,6.2,6955
2012-02-03,6.148,6943
2012-02-04,6,7597
2012-02-05,5.9625,6616
2012-02-06,5.79,6500
2012-02-07,5.70999,6799
2012-02-08,5.8494,6619
2012-02-09,5.8,7259
2012-02-10,5.92525,8642
2012-02-11,6,7624
2012-02-12,5.85,7405
2012-02-13,5.72,7514
2012-02-14,5.6,9710
2012-02-15,4.88,9511
2012-02-16,4.73368,9286
2012-02-17,4.76998,7128
2012-02-18,4.49675,6676
2012-02-19,4.33333,5932
2012-02-20,4.52,6118
2012-02-21,4.4354,6348
2012-02-22,4.54,7124
2012-02-23,4.92481,7881
2012-02-24,5.19778,7203
2012-02-25,5.07,6588
2012-02-26,5.00073,5851
2012-02-27,5.1,6475
2012-02-28,5,6627
2012-02-29,4.9,6825
2012-03-01,4.98421,6713
2012-03-02,4.98888,7696
2012-03-03,4.77995,5701
2012-03-04,4.9,6017
2012-03-05,5.04,6729
2012-03-06,5.05,6713
2012-03-07,5.07,6574
